char;q1;q2;q3;q4;uq1;uq2;uq3;uq4;x_cg;y_cg;x_cg_norm;y_cg_norm;Ix;Iy;Ix_norm;Iy_norm
ё;102;143;189;111;0.30357142857142855;0.4255952380952381;0.5625;0.33035714285714285;13.444036697247707;25.346788990825686;0.4635874723188865;0.5172814079760344;38042.543119266054;118875.45688073395;0.08299979953804679;0.09084552451825038
і;55;52;90;95;0.25462962962962965;0.24074074074074073;0.4166666666666667;0.4398148148148148;7.47945205479452;31.41780821917808;0.4399677679290894;0.5818112633181126;1698.876712328767;74031.02739726026;0.02013173333090922;0.0869447584856111
а;85;119;142;144;0.3148148148148148;0.44074074074074077;0.5259259259259259;0.5333333333333333;14.126530612244897;19.930612244897958;0.45569453587886766;0.5386651958080529;34412.15510204082;61251.64081632653;0.07307896770379668;0.09130996976241637
б;137;156;204;177;0.2984749455337691;0.33986928104575165;0.4444444444444444;0.38562091503267976;16.468842729970326;28.212166172106826;0.4705383637134379;0.5129484758564877;75197.84569732938;167142.6602373887;0.09107714612405908;0.08197889017700602
в;128;125;137;146;0.47058823529411764;0.45955882352941174;0.5036764705882353;0.5367647058823529;16.565298507462686;17.253731343283583;0.5176655783582089;0.4929637526652452;40573.71455223881;62223.49253731343;0.07392307484593416;0.09476620855515296
г;120;54;128;3;0.47058823529411764;0.21176470588235294;0.5019607843137255;0.011764705882352941;11.085245901639345;14.691803278688525;0.3695081967213115;0.41976580796252927;13897.78360655738;42519.02950819672;0.05062944847561887;0.1138013503063144
д;71;160;97;148;0.17929292929292928;0.40404040404040403;0.24494949494949494;0.37373737373737376;21.28361344537815;20.65126050420168;0.5752327958210312;0.45891690009337066;49588.71218487395;84628.10924369746;0.07609785739586944;0.08779760270121117
е;96;121;142;81;0.38095238095238093;0.4801587301587302;0.5634920634920635;0.32142857142857145;12.870454545454546;18.577272727272728;0.4438087774294671;0.5020884520884521;32301.615909090913;55953.37272727273;0.08729222762158392;0.09289025288411037
ж;169;172;202;204;0.38235294117647056;0.3891402714932127;0.45701357466063347;0.46153846153846156;25.673360107095046;17.416331994645248;0.49371846359798166;0.4976094855612928;127290.29986613119;92763.52074966533;0.06301849402844673;0.10137258776566438
з;53;119;33;139;0.2264957264957265;0.5085470085470085;0.14102564102564102;0.594017094017094;16.319767441860463;17.808139534883722;0.6044358311800172;0.48130106851037086;15700.825581395347;47415.33720930232;0.06260896410101185;0.10068318669479998
и;126;154;158;134;0.39009287925696595;0.47678018575851394;0.4891640866873065;0.4148606811145511;18.505244755244757;16.97027972027972;0.4869801251380199;0.4848651348651349;65530.98426573426;68826.49475524476;0.07933840568367571;0.09822533859746647
й;146;142;209;206;0.29554655870445345;0.2874493927125506;0.4230769230769231;0.41700404858299595;18.466571834992887;28.708392603129447;0.48596241671033913;0.5520844731371047;73366.96443812235;157127.2204836415;0.07227332449191075;0.08265886084344856
к;140;90;142;131;0.45751633986928103;0.29411764705882354;0.46405228758169936;0.42810457516339867;15.95427435387674;17.433399602385688;0.4431742876076872;0.49809713149673396;38841.94831013917;63001.518886679914;0.05958377560277098;0.1022461457973464
л;74;132;92;126;0.22839506172839505;0.4074074074074074;0.2839506172839506;0.3888888888888889;19.962264150943398;17.69575471698113;0.5545073375262055;0.49154874213836475;38903.39622641509;59887.75235849057;0.07079729397131794;0.10898510722122236
м;155;150;155;166;0.39641943734015345;0.3836317135549872;0.39641943734015345;0.42455242966751916;23.910543130990416;17.05111821086262;0.519794415891096;0.48717480602464625;102838.99041533547;70140.36421725241;0.07763683242187583;0.09146555938873628
н;135;133;141;141;0.4179566563467492;0.4117647058823529;0.43653250773993807;0.43653250773993807;18.509090909090908;16.978181818181817;0.4870813397129186;0.4850909090909091;64889.454545454544;67653.73818181819;0.08170417343925276;0.1004137115871142
о;100;131;135;113;0.3472222222222222;0.4548611111111111;0.46875;0.3923611111111111;15.891440501043842;18.112734864300627;0.4815588030619346;0.48953337471082775;56304.35490605428;52719.912317327755;0.1079390506048419;0.08039623625023486
п;129;130;129;132;0.3993808049535604;0.4024767801857585;0.3993808049535604;0.4086687306501548;18.184615384615384;16.678846153846155;0.4785425101214575;0.4765384615384616;60848.276923076926;69275.3673076923;0.08103595371174745;0.1087525389445719
р;182;213;206;64;0.3888888888888889;0.4551282051282051;0.44017094017094016;0.13675213675213677;17.088721804511277;21.942857142857143;0.47468671679197993;0.41401617250673856;70971.76541353384;154499.8285714286;0.0823491198059197;0.08270935182639508
с;87;84;145;77;0.34523809523809523;0.3333333333333333;0.5753968253968254;0.3055555555555556;12.173027989821882;19.198473282442748;0.419759585855927;0.5188776562822365;28292.23409669211;52462.51908396946;0.08560097211514256;0.09751089479323044
т;81;111;51;85;0.2977941176470588;0.40808823529411764;0.1875;0.3125;16.335365853658537;14.286585365853659;0.49501108647450115;0.40818815331010455;14117.109756097561;46837.060975609755;0.03952246902533529;0.11656809600699292
у;189;110;124;42;0.3825910931174089;0.22267206477732793;0.25101214574898784;0.08502024291497975;15.737634408602151;21.238709677419354;0.4141482739105829;0.4084367245657568;33441.99139784946;119652.50322580645;0.049804889938119115;0.09516169054670615
ф;233;221;254;257;0.3025974025974026;0.287012987012987;0.32987012987012987;0.33376623376623377;21.472538860103626;36.0300518134715;0.48801224682053695;0.5074655184995986;131700.52227979276;277240.1284974094;0.0704944344836813;0.05699176154443602
х;135;76;81;144;0.4411764705882353;0.24836601307189543;0.2647058823529412;0.47058823529411764;17.486238532110093;16.956422018348626;0.4726010414083809;0.48446920052424647;29728.91743119266;59014.17201834863;0.0498068593415013;0.11049273922177238
ц;155;157;109;143;0.3708133971291866;0.37559808612440193;0.2607655502392344;0.34210526315789475;19.46808510638298;18.659574468085108;0.5123180291153415;0.4146572104018913;73146.4255319149;84670.63829787234;0.08981457330395633;0.07413592355999679
ч;127;128;42;146;0.4150326797385621;0.41830065359477125;0.13725490196078433;0.477124183006536;19.252821670428894;14.318284424379232;0.5348006019563581;0.40909384069654947;40015.68397291197;47664.121896162535;0.06969819269032684;0.08783179968887923
ш;187;185;207;208;0.39285714285714285;0.38865546218487396;0.43487394957983194;0.4369747899159664;27.447268106734434;17.509529860228717;0.4901297876202578;0.5002722817208205;210244.56162642947;105424.67852604829;0.08518712951308147;0.10935319194673473
щ;215;251;157;213;0.349025974025974;0.4074675324675325;0.25487012987012986;0.3457792207792208;29.229665071770334;18.48444976076555;0.5128011416100059;0.41076555023923444;232779.9043062201;122552.79784688995;0.08570171179141617;0.07239222508529149
ъ;154;31;123;151;0.5032679738562091;0.10130718954248366;0.4019607843137255;0.4934640522875817;18.40740740740741;18.420479302832245;0.4974974974974975;0.5262994086523498;40394.81481481482;53751.84749455338;0.06428497625577058;0.09559707882184586
ы;136;127;191;224;0.3333333333333333;0.3112745098039216;0.4681372549019608;0.5490196078431373;23.588495575221238;18.733038348082594;0.4813978688820661;0.5352296670880742;139504.19026548672;80136.67994100295;0.08569695656891162;0.09648628010475342
ь;126;10;135;147;0.49411764705882355;0.0392156862745098;0.5294117647058824;0.5764705882352941;13.636363636363637;19.811004784688997;0.4398826979472141;0.5660287081339713;29440.727272727276;44338.06937799044;0.07329069916386757;0.08658933576406687
э;58;138;30;111;0.23015873015873015;0.5476190476190477;0.11904761904761904;0.44047619047619047;17.95252225519288;16.56379821958457;0.6190524915583752;0.4476702221509343;20695.240356083086;41048.87833827893;0.07302046227319846;0.08897498951622496
ю;188;177;206;182;0.4017094017094017;0.3782051282051282;0.44017094017094016;0.3888888888888889;25.94422310756972;18.04780876494024;0.4895136435390513;0.4877786152686551;195719.6573705179;85756.27888446215;0.09253110135488325;0.08318930645517482
я;123;128;117;152;0.42560553633217996;0.4429065743944637;0.40484429065743943;0.5259515570934256;17.93653846153846;17.04230769230769;0.5275452488687783;0.4869230769230769;34430.90576923077;60477.06923076923;0.057277924156958294;0.09494045405144307
ғ;140;53;146;7;0.5490196078431373;0.20784313725490197;0.5725490196078431;0.027450980392156862;10.294797687861271;14.973988439306359;0.34315992292870906;0.4278282411230388;13955.930635838151;41722.76589595376;0.044816732934611914;0.09843757436818157
қ ;170;121;96;124;0.45454545454545453;0.3235294117647059;0.25668449197860965;0.3315508021390374;16.10958904109589;18.23091976516634;0.4602739726027397;0.4051315503370298;43853.86301369863;68392.75146771038;0.07005689207028816;0.06609432143964666
ң;164;165;98;125;0.3923444976076555;0.39473684210526316;0.23444976076555024;0.29904306220095694;19.755434782608695;18.143115942028984;0.5198798627002288;0.40318035426731075;66393.98369565218;74265.69384057971;0.08329567587976758;0.06643916070905324
ү;189;102;77;117;0.3825910931174089;0.20647773279352227;0.15587044534412955;0.23684210526315788;18.11958762886598;22.27422680412371;0.4646048109965636;0.4283505154639175;24911.063917525775;124186.52783505156;0.033769242857758765;0.09469478423340111
ұ;193;102;127;131;0.39068825910931176;0.20647773279352227;0.25708502024291496;0.2651821862348178;17.801084990958408;23.517179023508138;0.45643807669124126;0.45225344275977186;35240.11934900543;131482.0867992767;0.041897009496946816;0.087929533635306
һ;189;76;185;187;0.3684210526315789;0.14814814814814814;0.36062378167641324;0.3645224171539961;16.73783359497645;30.777080062794347;0.4404693051309592;0.5699459270887842;64609.218210361076;143846.3453689168;0.07024054302582773;0.07744116549030457
ә;72;143;115;105;0.26666666666666666;0.5296296296296297;0.42592592592592593;0.3888888888888889;15.917241379310346;17.273563218390805;0.5305747126436782;0.4668530599565083;32773.02068965517;53990.44597701149;0.08371141938609239;0.09066177338440089
ө;107;140;142;113;0.3715277777777778;0.4861111111111111;0.4930555555555556;0.3923611111111111;16.09163346613546;17.842629482071715;0.48762525654955935;0.48223322924518147;57697.784860557775;48714.56772908366;0.1055425403264038;0.07088456652438262
